0x00000000,global_tags
0x00000001,ui\halox\main_menu\main_menu_offline
0x00000002,objects\characters\masterchief\fp\weapons\pistol\fp_excavator\fp_excavator
0x00000003,null_tag_0003
0x00000004,objects\characters\masterchief\mp_masterchief\fp\fp
0x00000005,objects\characters\masterchief\mp_masterchief\fp_body\fp_body
0x00000006,null_tag_0006
0x00000007,null_tag_0007
0x00000008,null_tag_0008
0x00000009,null_tag_0009
0x0000000A,objects\characters\masterchief\fp\bitmaps\efp_mp_arms_x
0x0000000B,null_tag_000B
0x0000000C,null_tag_000C
0x0000000D,objects\weapons\rifle\battle_rifle\bitmaps\gun_detail_soft
0x0000000E,null_tag_000E
0x0000000F,null_tag_000F
0x00000010,null_tag_0010
0x00000011,objects\characters\masterchief\fp\bitmaps\efp_arms_cc
0x00000012,objects\characters\masterchief\fp\bitmaps\efp_arms_zbump
0x00000013,objects\weapons\rifle\battle_rifle\bitmaps\gun_microbump_soft
0x00000014,objects\characters\masterchief\shaders\efp_mp_arms_metal
0x00000015,objects\characters\masterchief\fp\bitmaps\efp_arms_x
0x00000016,globals\globals
0x00000017,objects\bitmaps\detail_maps\rubber
0x00000018,objects\weapons\rifle\battle_rifle\bitmaps\rubber_microbump
0x00000019,objects\characters\masterchief\shaders\efp_mp_arms_rubber
0x0000001A,objects\characters\masterchief\bitmaps\mp_masterchief
0x0000001B,objects\characters\masterchief\bitmaps\mp_masterchief_cc
0x0000001C,objects\characters\masterchief\bitmaps\mp_masterchief_new_bump
0x0000001D,objects\characters\masterchief\fp\bitmaps\efp_metal_bump
0x0000001E,objects\characters\masterchief\bitmaps\masterchief_illum
0x0000001F,objects\characters\masterchief\shaders\mp_masterchief
0x00000020,objects\characters\masterchief\shaders\mp_masterchief_rubber
0x00000021,objects\characters\masterchief\bitmaps\masterchief
0x00000022,objects\characters\masterchief\shaders\mp_masterchief_black
0x00000023,objects\characters\masterchief\shaders\lights
0x00000024,objects\characters\masterchief\bitmaps\visor_realtime
0x00000025,objects\characters\masterchief\bitmaps\visor_realtime_bump
0x00000026,objects\characters\masterchief\shaders\visor
0x00000027,objects\characters\masterchief\shaders\mc_emblem
0x00000028,objects\characters\masterchief\mp_masterchief\armor\base
0x00000029,objects\characters\masterchief\mp_masterchief\armor\base
0x0000002A,objects\characters\masterchief\mp_masterchief\armor\base
0x0000002B,objects\characters\masterchief\bitmaps\mp_cobra
0x0000002C,objects\characters\masterchief\bitmaps\mp_cobra_cc
0x0000002D,objects\characters\masterchief\bitmaps\mp_cobra_bump
0x0000002E,objects\characters\masterchief\shaders\mp_cobra
0x0000002F,objects\characters\masterchief\shaders\mp_cobra_visor
0x00000030,objects\characters\masterchief\mp_masterchief\armor\mp_cobra
0x00000031,objects\characters\masterchief\mp_masterchief\armor\mp_cobra
0x00000032,objects\characters\masterchief\mp_masterchief\armor\mp_cobra
0x00000033,objects\characters\masterchief\bitmaps\mp_intruder
0x00000034,objects\characters\masterchief\bitmaps\mp_intruder_cc
0x00000035,objects\characters\masterchief\bitmaps\mp_intruder_bump
0x00000036,objects\characters\masterchief\shaders\mp_intruder
0x00000037,objects\characters\masterchief\shaders\mp_intruder_visor
0x00000038,objects\characters\masterchief\mp_masterchief\armor\mp_intruder
0x00000039,objects\characters\masterchief\mp_masterchief\armor\mp_intruder
0x0000003A,objects\characters\masterchief\mp_masterchief\armor\mp_intruder
0x0000003B,objects\characters\masterchief\bitmaps\mp_ninja
0x0000003C,objects\characters\masterchief\bitmaps\mp_ninja_cc
0x0000003D,objects\characters\masterchief\bitmaps\mp_ninja_bump
0x0000003E,objects\characters\masterchief\shaders\mp_ninja
0x0000003F,objects\characters\masterchief\shaders\mp_ninja_visor
0x00000040,objects\characters\masterchief\mp_masterchief\armor\mp_ninja
0x00000041,objects\characters\masterchief\mp_masterchief\armor\mp_ninja
0x00000042,objects\characters\masterchief\mp_masterchief\armor\mp_ninja
0x00000043,objects\characters\masterchief\bitmaps\mp_regulator
0x00000044,objects\characters\masterchief\bitmaps\mp_regulator_cc
0x00000045,objects\characters\masterchief\bitmaps\mp_regulator_zbump
0x00000046,objects\characters\masterchief\shaders\mp_regulator
0x00000047,objects\characters\masterchief\shaders\mp_regulator_visor
0x00000048,objects\characters\masterchief\mp_masterchief\armor\mp_regulator
0x00000049,objects\characters\masterchief\mp_masterchief\armor\mp_regulator
0x0000004A,objects\characters\masterchief\mp_masterchief\armor\mp_regulator
0x0000004B,objects\characters\masterchief\bitmaps\mp_ryu
0x0000004C,objects\characters\masterchief\bitmaps\mp_ryu_cc
0x0000004D,objects\characters\masterchief\bitmaps\mp_ryu_bump
0x0000004E,objects\characters\masterchief\shaders\mp_ryu
0x0000004F,objects\characters\masterchief\shaders\mp_ryu_visor
0x00000050,objects\characters\masterchief\mp_masterchief\armor\mp_ryu
0x00000051,objects\characters\masterchief\mp_masterchief\armor\mp_ryu
0x00000052,objects\characters\masterchief\mp_masterchief\armor\mp_ryu
0x00000053,objects\characters\masterchief\bitmaps\mp_marathon
0x00000054,objects\characters\masterchief\bitmaps\mp_marathon_cc
0x00000055,objects\characters\masterchief\bitmaps\mp_marathon_bump
0x00000056,objects\characters\masterchief\shaders\mp_marathon
0x00000057,objects\characters\masterchief\shaders\mp_marathon_visor
0x00000058,objects\characters\masterchief\mp_masterchief\armor\mp_marathon
0x00000059,objects\characters\masterchief\mp_masterchief\armor\mp_marathon
0x0000005A,objects\characters\masterchief\mp_masterchief\armor\mp_marathon
0x0000005B,objects\characters\masterchief\bitmaps\mp_scout
